collectTime,metrisValue
2020/3/20 15:31,786
2020/3/20 15:41,684
2020/3/20 15:51,674
2020/3/20 16:01,551
2020/3/20 16:11,778
2020/3/20 16:21,739
2020/3/20 16:31,685
2020/3/20 16:41,762
2020/3/20 16:51,630
2020/3/20 17:01,538
2020/3/20 17:11,479
2020/3/20 17:21,397
2020/3/20 17:31,330
2020/3/20 17:41,327
2020/3/20 17:51,266
2020/3/20 18:01,223
2020/3/20 18:11,208
2020/3/20 18:21,238
2020/3/20 18:31,193
2020/3/20 18:41,191
2020/3/20 18:51,168
2020/3/20 19:01,148
2020/3/20 19:11,137
2020/3/20 19:21,112
2020/3/20 19:31,132
2020/3/20 19:41,112
2020/3/20 19:51,131
2020/3/20 20:01,90
2020/3/20 20:11,117
2020/3/20 20:21,114
2020/3/20 20:31,110
2020/3/20 20:41,113
2020/3/20 20:51,118
2020/3/20 21:01,130
2020/3/20 21:11,132
2020/3/20 21:21,130
2020/3/20 21:31,160
2020/3/20 21:41,179
2020/3/20 21:51,176
2020/3/20 22:01,269
2020/3/20 22:11,309
2020/3/20 22:21,395
2020/3/20 22:31,459
2020/3/20 22:41,535
2020/3/20 22:51,557
2020/3/20 23:01,644
2020/3/20 23:11,868
2020/3/20 23:21,964
2020/3/20 23:31,1129
2020/3/20 23:41,1110
2020/3/20 23:51,1213
2020/3/21 0:01,1211
2020/3/21 0:11,1402
2020/3/21 0:21,1417
2020/3/21 0:31,1576
2020/3/21 0:41,1732
2020/3/21 0:51,1742
2020/3/21 1:01,1846
2020/3/21 1:11,2041
2020/3/21 1:21,2159
2020/3/21 1:31,2401
2020/3/21 1:41,2447
2020/3/21 1:51,2521
2020/3/21 2:01,2627
2020/3/21 2:11,3078
2020/3/21 2:21,2906
2020/3/21 2:31,2744
2020/3/21 2:41,2817
2020/3/21 2:51,2898
2020/3/21 3:01,2701
2020/3/21 3:11,2760
2020/3/21 3:21,2798
2020/3/21 3:31,2605
2020/3/21 3:41,2449
2020/3/21 3:51,2370
2020/3/21 4:01,2387
2020/3/21 4:11,2534
2020/3/21 4:21,2468
2020/3/21 4:31,2373
2020/3/21 4:41,2417
2020/3/21 4:51,2263
2020/3/21 5:01,2190
2020/3/21 5:11,2302
2020/3/21 5:21,2248
2020/3/21 5:31,2281
2020/3/21 5:41,2161
2020/3/21 5:51,2170
2020/3/21 6:01,
2020/3/21 6:11,2321
2020/3/21 6:21,2125
2020/3/21 6:31,2196
2020/3/21 6:41,2188
2020/3/21 6:51,2151
2020/3/21 7:01,2249
2020/3/21 7:11,2295
2020/3/21 7:21,2381
2020/3/21 7:31,2281
2020/3/21 7:41,2213
2020/3/21 7:51,2274
2020/3/21 8:01,2203
2020/3/21 8:11,2293
2020/3/21 8:21,2248
2020/3/21 8:31,2121
2020/3/21 8:41,2183
2020/3/21 8:51,2019
2020/3/21 9:01,2071
2020/3/21 9:11,2217
2020/3/21 9:21,2165
2020/3/21 9:31,2081
2020/3/21 9:41,2048
2020/3/21 9:51,2041
2020/3/21 10:01,1910
2020/3/21 10:11,1947
2020/3/21 10:21,1897
2020/3/21 10:31,1961
2020/3/21 10:41,1845
2020/3/21 10:51,1716
2020/3/21 11:01,1790
2020/3/21 11:11,1906
2020/3/21 11:21,1858
2020/3/21 11:31,1888
2020/3/21 11:41,1907
2020/3/21 11:51,1835
2020/3/21 12:01,1698
2020/3/21 12:11,1724
2020/3/21 12:21,1703
2020/3/21 12:31,1673
2020/3/21 12:41,1698
2020/3/21 12:51,1582
2020/3/21 13:01,1585
2020/3/21 13:11,1467
2020/3/21 13:21,1524
2020/3/21 13:31,1399
2020/3/21 13:41,1306
2020/3/21 13:51,1310
2020/3/21 14:01,1173
2020/3/21 14:11,1165
2020/3/21 14:21,1039
2020/3/21 14:31,1027
2020/3/21 14:41,1001
2020/3/21 14:51,992
2020/3/21 15:01,907
2020/3/21 15:11,881
2020/3/21 15:21,813
2020/3/21 15:31,665
2020/3/21 15:41,631
2020/3/21 15:51,596
2020/3/21 16:01,576
2020/3/21 16:11,685
2020/3/21 16:21,629
2020/3/21 16:31,636
2020/3/21 16:41,593
2020/3/21 16:51,492
2020/3/21 17:01,532
2020/3/21 17:11,485
2020/3/21 17:21,359
2020/3/21 17:31,343
2020/3/21 17:41,267
2020/3/21 17:51,251
2020/3/21 18:01,219
2020/3/21 18:11,221
2020/3/21 18:21,185
